GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Median gross rent -- - Total:,Margin of Error; Median gross rent -- - Total:,Estimate; Median gross rent -- - Total: - No bedroom,Margin of Error; Median gross rent -- - Total: - No bedroom,Estimate; Median gross rent -- - Total: - 1 bedroom,Margin of Error; Median gross rent -- - Total: - 1 bedroom,Estimate; Median gross rent -- - Total: - 2 bedrooms,Margin of Error; Median gross rent -- - Total: - 2 bedrooms,Estimate; Median gross rent -- - Total: - 3 bedrooms,Margin of Error; Median gross rent -- - Total: - 3 bedrooms,Estimate; Median gross rent -- - Total: - 4 bedrooms,Margin of Error; Median gross rent -- - Total: - 4 bedrooms,Estimate; Median gross rent -- - Total: - 5 or more bedrooms,Margin of Error; Median gross rent -- - Total: - 5 or more bedrooms
1400000US36061002500,36061002500,"Census Tract 25, New York County, New York",394,55,296,48,333,72,378,74,764,291,762,114,-,**
1400000US36061002601,36061002601,"Census Tract 26.01, New York County, New York",923,101,366,217,951,228,1038,149,1099,221,-,**,-,**
1400000US36061002602,36061002602,"Census Tract 26.02, New York County, New York",1241,621,-,**,569,285,1864,979,1636,449,1677,1093,-,**
1400000US36061002700,36061002700,"Census Tract 27, New York County, New York",1027,122,1143,565,1112,120,877,539,-,**,-,**,-,**
1400000US36061002800,36061002800,"Census Tract 28, New York County, New York",965,165,1043,388,912,526,941,239,1013,519,-,**,-,**
1400000US36061002900,36061002900,"Census Tract 29, New York County, New York",939,69,-,**,953,137,969,147,1448,1444,-,**,-,**
1400000US36061003001,36061003001,"Census Tract 30.01, New York County, New York",2056,130,1971,208,2024,192,2567,610,2103,658,-,**,-,**
1400000US36061003002,36061003002,"Census Tract 30.02, New York County, New York",1241,154,950,469,1327,310,1541,693,1304,851,-,**,-,**
1400000US36061003100,36061003100,"Census Tract 31, New York County, New York",2826,233,2264,254,3007,240,3063,487,2444,329,-,**,-,**
1400000US36061003200,36061003200,"Census Tract 32, New York County, New York",1762,182,1761,119,1652,557,-,**,2820,277,-,**,-,**
1400000US36061003300,36061003300,"Census Tract 33, New York County, New York",3117,167,2905,2049,3259,275,3154,477,2813,175,-,**,-,**
1400000US36061003400,36061003400,"Census Tract 34, New York County, New York",2047,109,2102,132,2006,230,2027,900,1938,1318,-,**,-,**
1400000US36061003601,36061003601,"Census Tract 36.01, New York County, New York",1262,252,2313,877,1593,642,995,263,1100,281,-,**,-,**
1400000US36061003602,36061003602,"Census Tract 36.02, New York County, New York",1585,175,1613,391,1512,296,1237,1005,2250,1964,-,**,-,**
1400000US36061003700,36061003700,"Census Tract 37, New York County, New York",2304,227,2216,883,2200,159,3123,1453,-,**,-,**,-,**
1400000US36061003800,36061003800,"Census Tract 38, New York County, New York",1756,141,1652,277,1866,150,999,929,2502,1206,-,**,-,**
1400000US36061003900,36061003900,"Census Tract 39, New York County, New York",1847,160,-,**,1883,311,1820,222,1860,303,-,**,-,**
1400000US36061004000,36061004000,"Census Tract 40, New York County, New York",2187,135,2074,379,1936,231,2937,988,2044,822,-,**,-,**
1400000US36061004100,36061004100,"Census Tract 41, New York County, New York",1405,188,1665,853,1417,379,1137,294,1505,434,-,**,-,**
1400000US36061004200,36061004200,"Census Tract 42, New York County, New York",2442,289,2565,312,2495,903,-,**,1611,1137,-,**,-,**
1400000US36061004300,36061004300,"Census Tract 43, New York County, New York",2185,366,2642,220,2312,371,1685,797,-,**,-,**,-,**
1400000US36061004400,36061004400,"Census Tract 44, New York County, New York",1870,70,2346,1056,1694,138,1958,152,1989,344,-,**,-,**
1400000US36061004500,36061004500,"Census Tract 45, New York County, New York",1161,88,1554,792,-,**,1151,177,1096,59,-,**,-,**
1400000US36061004700,36061004700,"Census Tract 47, New York County, New York",2154,305,2691,105,1837,656,2278,2016,2083,956,2250,1357,-,**
1400000US36061004800,36061004800,"Census Tract 48, New York County, New York",1802,202,1462,248,1997,331,1816,640,-,**,-,**,-,**
1400000US36061004900,36061004900,"Census Tract 49, New York County, New York",2038,234,1942,292,2002,413,2593,1329,2146,179,-,**,-,**
1400000US36061005000,36061005000,"Census Tract 50, New York County, New York",2686,284,2170,894,2699,482,3393,442,-,**,-,**,2786,616
1400000US36061005200,36061005200,"Census Tract 52, New York County, New York",2660,136,2653,227,2745,239,2571,329,2566,446,-,**,-,**
1400000US36061005400,36061005400,"Census Tract 54, New York County, New York",2624,275,2442,320,3064,540,2190,681,2972,643,-,**,-,**
1400000US36061005501,36061005501,"Census Tract 55.01, New York County, New York",2100,156,1322,70,1891,244,2348,95,2707,180,-,**,-,**
1400000US36061005502,36061005502,"Census Tract 55.02, New York County, New York",2349,238,-,**,2644,398,2066,1352,2222,1319,-,**,-,**
1400000US36061005600,36061005600,"Census Tract 56, New York County, New York",1705,1592,586,265,3330,444,649,144,3408,391,-,**,-,**
1400000US36061005700,36061005700,"Census Tract 57, New York County, New York","3,500+",***,2246,76,"3,500+",***,"3,500+",***,-,**,-,**,-,**
1400000US36061005800,36061005800,"Census Tract 58, New York County, New York",3059,213,3103,946,3185,196,2887,285,-,**,-,**,-,**
1400000US36061005900,36061005900,"Census Tract 59, New York County, New York",2081,176,1336,606,2082,231,2314,289,2482,1787,-,**,-,**
1400000US36061006000,36061006000,"Census Tract 60, New York County, New York",2476,334,-,**,2921,643,2264,257,-,**,-,**,-,**
1400000US36061006100,36061006100,"Census Tract 61, New York County, New York",2688,106,2722,168,2609,149,"3,500+",***,-,**,-,**,-,**
1400000US36061006200,36061006200,"Census Tract 62, New York County, New York",2438,195,1934,205,2560,256,2885,411,2646,1547,-,**,-,**
1400000US36061006300,36061006300,"Census Tract 63, New York County, New York",2243,144,2218,206,2257,250,2229,514,-,**,-,**,-,**
1400000US36061006400,36061006400,"Census Tract 64, New York County, New York",2361,153,2162,151,2721,422,2504,2452,2373,837,-,**,-,**
1400000US36061006500,36061006500,"Census Tract 65, New York County, New York",2258,94,2217,78,2090,240,2638,444,"3,500+",***,-,**,-,**
1400000US36061006600,36061006600,"Census Tract 66, New York County, New York",1379,509,2226,791,1211,470,2207,918,949,28,-,**,-,**
1400000US36061006700,36061006700,"Census Tract 67, New York County, New York",2341,137,2096,215,2418,210,2760,232,2304,618,-,**,-,**
1400000US36061006800,36061006800,"Census Tract 68, New York County, New York",2273,467,2231,362,1975,1471,2656,834,2176,889,-,**,-,**
1400000US36061006900,36061006900,"Census Tract 69, New York County, New York",3479,185,3270,410,"3,500+",***,"3,500+",***,-,**,-,**,-,**
1400000US36061007000,36061007000,"Census Tract 70, New York County, New York",2499,291,1932,273,2783,545,2744,779,3275,163,-,**,-,**
1400000US36061007100,36061007100,"Census Tract 71, New York County, New York",2117,405,2000,620,2246,745,3073,1649,2250,1861,-,**,-,**
1400000US36061007200,36061007200,"Census Tract 72, New York County, New York",2348,217,1563,434,2562,364,3016,950,-,**,-,**,-,**
1400000US36061007300,36061007300,"Census Tract 73, New York County, New York",2023,288,1780,187,2238,669,2750,2061,2489,1291,-,**,-,**
1400000US36061007400,36061007400,"Census Tract 74, New York County, New York",2838,237,2365,205,3271,364,2875,1475,2804,2286,-,**,-,**
1400000US36061007500,36061007500,"Census Tract 75, New York County, New York",2483,466,2138,684,2314,511,2953,645,-,**,-,**,-,**
1400000US36061007600,36061007600,"Census Tract 76, New York County, New York",2656,170,2411,245,2721,263,3038,478,2869,415,-,**,-,**
1400000US36061007700,36061007700,"Census Tract 77, New York County, New York",2227,141,2160,166,2185,232,2977,758,2297,796,-,**,-,**
1400000US36061007800,36061007800,"Census Tract 78, New York County, New York",2463,217,2275,604,2384,180,3048,434,2772,808,-,**,-,**
1400000US36061007900,36061007900,"Census Tract 79, New York County, New York",1829,1015,2821,1886,1327,553,3404,486,-,**,-,**,-,**
1400000US36061008000,36061008000,"Census Tract 80, New York County, New York",2413,242,2265,289,2274,459,2748,182,-,**,-,**,-,**
1400000US36061008100,36061008100,"Census Tract 81, New York County, New York",1719,196,1626,328,1738,235,2115,1185,-,**,-,**,-,**
1400000US36061008200,36061008200,"Census Tract 82, New York County, New York",2852,278,2659,342,3000,461,3038,489,-,**,-,**,-,**
1400000US36061008300,36061008300,"Census Tract 83, New York County, New York",938,137,2220,636,895,345,879,402,925,351,-,**,-,**
1400000US36061008400,36061008400,"Census Tract 84, New York County, New York",3216,110,-,**,3303,99,3218,188,-,**,-,**,-,**
1400000US36061008601,36061008601,"Census Tract 86.01, New York County, New York",3391,88,3294,145,3320,115,"3,500+",***,3305,113,-,**,-,**
1400000US36061008602,36061008602,"Census Tract 86.02, New York County, New York",-,**,-,**,-,**,-,**,-,**,-,**,-,**
1400000US36061008603,36061008603,"Census Tract 86.03, New York County, New York",2628,251,-,**,2543,360,2746,441,2537,1578,-,**,-,**
1400000US36061008700,36061008700,"Census Tract 87, New York County, New York",2341,246,2341,476,2592,351,1729,664,"3,500+",***,-,**,-,**
1400000US36061008800,36061008800,"Census Tract 88, New York County, New York",2139,188,1758,136,2774,853,2386,1187,-,**,-,**,-,**
1400000US36061008900,36061008900,"Census Tract 89, New York County, New York",1757,242,1347,284,2261,532,1700,761,-,**,-,**,-,**
1400000US36061009000,36061009000,"Census Tract 90, New York County, New York",2304,177,2080,183,2453,451,2853,1338,2574,421,-,**,-,**
1400000US36061009100,36061009100,"Census Tract 91, New York County, New York",1938,324,1852,953,1890,558,2113,1650,3008,1401,-,**,-,**
1400000US36061009200,36061009200,"Census Tract 92, New York County, New York",2601,248,2280,727,2725,323,2844,2151,1583,1435,-,**,-,**
1400000US36061009300,36061009300,"Census Tract 93, New York County, New York",1834,287,2037,310,2601,378,1190,751,1649,466,-,**,-,**
1400000US36061009400,36061009400,"Census Tract 94, New York County, New York",3088,536,-,**,3107,630,-,**,-,**,-,**,-,**
1400000US36061009500,36061009500,"Census Tract 95, New York County, New York",2231,889,"3,500+",***,3200,2180,2568,1305,1533,663,-,**,-,**
1400000US36061009600,36061009600,"Census Tract 96, New York County, New York",2371,415,3000,2003,2325,416,-,**,-,**,-,**,-,**
1400000US36061009700,36061009700,"Census Tract 97, New York County, New York",972,107,1202,718,879,327,928,189,-,**,-,**,-,**
1400000US36061009800,36061009800,"Census Tract 98, New York County, New York",2366,252,2154,99,2703,285,-,**,-,**,-,**,-,**
1400000US36061009900,36061009900,"Census Tract 99, New York County, New York",2942,216,2568,176,3212,312,3150,504,3438,1352,-,**,-,**
1400000US36061010000,36061010000,"Census Tract 100, New York County, New York",2372,150,2087,193,2447,716,3123,371,-,**,-,**,-,**
1400000US36061010100,36061010100,"Census Tract 101, New York County, New York","3,500+",***,3430,216,"3,500+",***,"3,500+",***,-,**,-,**,-,**
1400000US36061010200,36061010200,"Census Tract 102, New York County, New York",2972,822,-,**,2911,519,-,**,-,**,-,**,-,**
1400000US36061010300,36061010300,"Census Tract 103, New York County, New York",2523,233,2239,118,2950,205,1821,1332,3017,395,-,**,-,**
1400000US36061010400,36061010400,"Census Tract 104, New York County, New York",2375,327,2167,743,2390,349,3000,1044,-,**,-,**,-,**
1400000US36061010601,36061010601,"Census Tract 106.01, New York County, New York",2694,289,2700,126,2690,648,2452,1477,-,**,-,**,-,**
1400000US36061010602,36061010602,"Census Tract 106.02, New York County, New York",2585,230,2313,155,2393,293,2768,230,3258,600,-,**,-,**
1400000US36061010800,36061010800,"Census Tract 108, New York County, New York",2248,160,1893,273,2210,319,2582,311,2399,1378,-,**,-,**
1400000US36061010900,36061010900,"Census Tract 109, New York County, New York",3020,598,2750,1073,2969,414,-,**,-,**,-,**,-,**
1400000US36061011000,36061011000,"Census Tract 110, New York County, New York",2140,185,1851,165,1948,397,3107,185,2180,532,-,**,-,**
1400000US36061011100,36061011100,"Census Tract 111, New York County, New York",2373,299,1821,582,2533,521,2593,510,-,**,-,**,-,**
1400000US36061011201,36061011201,"Census Tract 112.01, New York County, New York",2484,247,2336,212,2758,486,2042,554,-,**,-,**,-,**
1400000US36061011202,36061011202,"Census Tract 112.02, New York County, New York",2778,333,-,**,-,**,-,**,-,**,-,**,-,**
1400000US36061011203,36061011203,"Census Tract 112.03, New York County, New York",2778,315,1795,1056,2991,479,2929,608,2333,541,-,**,-,**
1400000US36061011300,36061011300,"Census Tract 113, New York County, New York",2750,959,3056,2284,2667,762,-,**,-,**,-,**,-,**
1400000US36061011401,36061011401,"Census Tract 114.01, New York County, New York",2135,668,1713,665,2111,875,3080,587,1667,1604,-,**,-,**
1400000US36061011402,36061011402,"Census Tract 114.02, New York County, New York",2112,211,1580,292,2063,424,2211,126,-,**,-,**,-,**
1400000US36061011500,36061011500,"Census Tract 115, New York County, New York",2407,370,2034,1869,2526,749,2531,788,"3,500+",***,-,**,-,**
1400000US36061011600,36061011600,"Census Tract 116, New York County, New York",1514,166,1402,172,1262,269,1854,435,3014,1707,-,**,-,**
1400000US36061011700,36061011700,"Census Tract 117, New York County, New York",2816,256,2450,1048,3108,149,2728,1607,-,**,-,**,-,**
1400000US36061011800,36061011800,"Census Tract 118, New York County, New York",2437,184,2093,197,2458,268,2685,572,3170,1239,-,**,-,**
1400000US36061011900,36061011900,"Census Tract 119, New York County, New York",535,331,610,305,-,**,-,**,-,**,-,**,-,**
1400000US36061012000,36061012000,"Census Tract 120, New York County, New York",2220,269,-,**,2166,217,2275,986,2500,2316,-,**,-,**
1400000US36061012100,36061012100,"Census Tract 121, New York County, New York",1476,266,1211,385,1523,477,2244,312,-,**,-,**,-,**
